"uf";"total_acidentes";"total_mortos";"acidentes_fatais";"perc_fatais"
"MA";"1262";"281";"236";"18.7"
"PA";"1117";"224";"193";"17.28"
"RR";"142";"28";"23";"16.2"
"AM";"138";"26";"19";"13.77"
"AL";"629";"96";"86";"13.67"
"TO";"677";"102";"83";"12.26"
"CE";"1302";"171";"153";"11.75"
"BA";"4108";"583";"476";"11.59"
"AC";"280";"29";"29";"10.36"
"PE";"3013";"336";"302";"10.02"
"PI";"1490";"168";"149";"10"
"MS";"1654";"150";"136";"8.22"
"MT";"2636";"243";"204";"7.74"
"GO";"3196";"308";"247";"7.73"
"SE";"589";"51";"44";"7.47"
"MG";"9570";"765";"647";"6.76"
"PR";"7630";"593";"511";"6.7"
"PB";"1978";"142";"127";"6.42"
"RN";"1648";"111";"102";"6.19"
"RO";"1452";"102";"86";"5.92"
"RS";"4899";"327";"275";"5.61"
"ES";"2642";"161";"145";"5.49"
"AP";"169";"14";"9";"5.33"
"RJ";"6428";"330";"306";"4.76"
"SC";"8186";"434";"374";"4.57"
"SP";"4683";"221";"205";"4.38"
"DF";"1011";"47";"43";"4.25"
